CustomerKey,Prefix,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner
11016,MR.,WYATT,HILL,4/28/1979,M,M,Wyatt32@Adventure-Works.Com,30000,,Partial College,Skilled Manual,Y
11017,MRS., SHANNON,WANG,6/26/1944,S,F,Shannon1@Adventure-Works.Com,20000,4,High School,Skilled Manual,Y
11018,MR.,CLARENCE,RAI,10/9/1944,S,M,Clarence32@Adventure-Works.Com,30000,2,Partial College,Clerical,Y
11019,MR.,LUKE,LAL,3/7/1978,S,Male,Luke18@Adventure-Works.Com,40000,,High School,Skilled Manual,N
11020,MR.,JORDAN,KING,9/20/1978,S,M,Jordan73@Adventure-Works.Com,40000,,HighSchool,Skilled Manual,N
,,,,,,,,,,,,
11021,MS.,DESTINY,WILSON,9/3/1978,S,F,Destiny7@Adventure-Works.Com,40000,,Partial College,Skilled Manual,N
11022,MR.,  ETHAN,ZHANG,10/12/1978,M,M,Ethan20@Adventure-Works.Com,40000,,Partial College,Skilled Manual,Y
11023,MR.,SETH, EDWARDS,10/11/1978,M,M,Seth46@Adventure-Works.Com,40000,,Partial College,Skilled Manual,Y
11024,MR.,RUSSELL,XIE,9/17/1978,M,M,Russell7@Adventure-Works.Com,60000,,Partial College,Skilled Manual,Y
11025,,ALEJANDRO,BECK,12/23/1945,M,NA,Alejandro45@Adventure-Works.Com,10000,2,Partial High School,Clerical,Y
11026,MR.,HAROLD,  SAI,4/3/1946,S,M,Harold3@Adventure-Works.Com,30000,2,Partial College,Clerical,N
11027,MR.,JESSIE,ZHAO,12/7/1946,M,M,Jessie16@Adventure-Works.Com,30000,2,Partial College,Clerical,Y
11028,MRS.,JILL,JIMENEZ,4/11/1946,M,F,Jill13@Adventure-Works.Com,30000,2,Partial College,Clerical,Y
11029,MR.,JIMMY,MORENO,12/21/1946,M,M,Jimmy9@Adventure-Works.Com,30000,2,Partial College,Clerical,Y
11030,MRS.,BETHANY,YUAN,2/22/1947,M,F,Bethany10@Adventure-Works.Com,10000,2,Partial High School,Clerical,Y
11031,MRS.,THERESA,RAMOS,8/22/1947,M,F,Theresa13@Adventure-Works.Com,20000,4,High School,Skilled Manual,Y
11032,MRS.,DENISE,STONE,6/11/1947,M,F,Denise10@Adventure-Works.Com,20000,4,HighSchool,Skilled Manual,Y
11033,MR.,JAIME,NATH,9/23/1947,M,M,Jaime41@Adventure-Works.Com,20000,4,High School,Skilled Manual,Y
11034,MRS.,EBONY,GONZALEZ,6/19/1947,M,F,Ebony19@Adventure-Works.Com,20000,4,HighSchool,Skilled Manual,Y
11035,,WENDY,DOMINGUEZ,2/24/1948,M,NA,Wendy12@Adventure-Works.Com,10000,2,Partial High School,Clerical,Y
11036,MS.,JENNIFER,RUSSELL,12/18/1978,M,F,Jennifer93@Adventure-Works.Com,60000,,Partial College,Skilled Manual,Y
11037,MS.,CHLOE,GARCIA,11/27/1977,S,F,Chloe27@Adventure-Works.Com,40000,,Partial High School,Clerical,N
11038,MRS.,DIANA,HERNANDEZ,3/23/1948,M,F,Diana2@Adventure-Works.Com,10000,2,Partial High School,Clerical,Y
11039,MR.,MARC,MARTIN,12/17/1948,M,Male,Marc3@Adventure-Works.Com,30000,3,Partial College,Clerical,Y
11040,MR.,JESSE,MURPHY,8/1/1977,M,Male,Jesse15@Adventure-Works.Com,30000,,Partial College,Skilled Manual,Y
11041,MS.,AMANDA,CARTER,10/16/1977,M,Female,Amanda53@Adventure-Works.Com,60000,,Partial College,Skilled Manual,Y
11042,MS.,MEGAN,SANCHEZ,6/13/1977,M,F,Megan28@Adventure-Works.Com,70000,,Partial College,Skilled Manual,Y
11043,MR.,NATHAN,SIMMONS,2/24/1976,M,M,Nathan11@Adventure-Works.Com,60000,,Partial College,Skilled Manual,Y
11044,MR.,ADAM,FLORES,5/24/1949,M,M,Adam10@Adventure-Works.Com,20000,2,Partial High School,Clerical,Y
11045,MR.,LEONARD,NARA,5/19/1950,S,M,Leonard18@Adventure-Works.Com,30000,3,High School,Skilled Manual,N
11046,MRS.,CHRISTINE,YUAN,3/22/1950,M,F,Christine4@Adventure-Works.Com,30000,3,High School,Skilled Manual,Y
11047,MRS.,JACLYN,LU,2/27/1950,M,F,Jaclyn12@Adventure-Works.Com,30000,3,High School,Skilled Manual,N
11048,MR.,JEREMY,POWELL,11/22/1950,M,M,Jeremy26@Adventure-Works.Com,30000,3,High School,Skilled Manual,Y
11049,MS.,CAROL,RAI,7/18/1980,S,F,Carol8@Adventure-Works.Com,40000,,Partial High School,Clerical,Y
11050,MR.,ALAN,ZHENG,9/7/1951,M,M,Alan23@Adventure-Works.Com,30000,3,High School,Skilled Manual,Y
11051,MR.,DANIEL,JOHNSON,8/4/1951,S,M,Daniel18@Adventure-Works.Com,30000,3,High School,Skilled Manual,N
11052,MRS.,HEIDI,LOPEZ,8/7/1951,S,F,Heidi19@Adventure-Works.Com,40000,2,Partial College,Clerical,N
11053,MS.,ANA,PRICE,8/20/1980,M,F,Ana0@Adventure-Works.Com,60000,,Partial College,Skilled Manual,N
11054,MRS.,DEANNA,MUNOZ,3/10/1952,M,F,Deanna33@Adventure-Works.Com,40000,2,Partial College,Skilled Manual,Y
11054,MRS.,DEANNA,MUNOZ,3/10/1952,M,F,Deanna33@Adventure-Works.Com,40000,2,Partial College,Skilled Manual,Y
11055,MR.,GILBERT,RAJE,3/5/1952,M,M,Gilbert35@Adventure-Works.Com,40000,2,Partial College,Skilled Manual,Y
11056,MRS.,MICHELE,NATH,4/3/1953,M,F,Michele19@Adventure-Works.Com,40000,3,Partial College,Skilled Manual,Y
11057,MR.,CARL,ANDERSEN,10/12/1953,M,M,Carl12@Adventure-Works.Com,70000,2,Graduate Degree,Managenent,Y
11058,MR.,MARC,DIAZ,4/27/1954,M,M,Marc6@Adventure-Works.Com,80000,2,Partial College,Skilled Manual,Y
11059,MRS.,ASHLEE,ANDERSEN,4/1/1954,S,F,Ashlee19@Adventure-Works.Com,80000,2,Partial College,Skilled Manual,Y
11060,MR.,JON,ZHOU,3/17/1954,M,M,Jon28@Adventure-Works.Com,80000,2,Partial College,Skilled Manual,Y
11061,MR.,TODD,GAO,2/27/1954,M,M,Todd14@Adventure-Works.Com,80000,2,Partial College,Skilled Manual,Y
11062,MR.,NOAH,POWELL,9/2/1975,M,M,Noah5@Adventure-Works.Com,40000,,High School,Skilled Manual,Y
11063,MS.,ANGELA,MURPHY,4/7/1975,S,F,Angela41@Adventure-Works.Com,40000,,High School,Skilled Manual,Y
11064,MR.,CHASE,REED,12/7/1975,M,M,Chase21@Adventure-Works.Com,40000,,High School,Skilled Manual,Y
11065,MS.,JESSICA,HENDERSON,10/9/1973,M,F,Jessica29@Adventure-Works.Com,60000,,Partial College,Skilled Manual,N
11066,MS.,GRACE,BUTLER,11/27/1973,M,F,Grace62@Adventure-Works.Com,70000,,Partial College,Professional,Y
11067,MR.,CALEB,CARTER,9/25/1976,S,M,Caleb40@Adventure-Works.Com,60000,,Partial College,Professional,Y
11068,MRS.,TIFFANY,LIANG,9/23/1955,S,F,Tiffany17@Adventure-Works.Com,80000,2,High School,Skilled Manual,Y
11069,MRS.,CAROLYN,NAVARRO,9/21/1955,S,F,Carolyn30@Adventure-Works.Com,80000,2,High School,Skilled Manual,N
11070,MR.,WILLIE,RAJI,4/5/1955,M,M,Willie40@Adventure-Works.Com,80000,2,High School,Skilled Manual,Y
11071,MRS.,LINDA,SERRANO,6/26/1955,S,F,Linda31@Adventure-Works.Com,80000,2,High School,Skilled Manual,Y
11072,MRS.,CASEY,LUO,2/6/1955,S,F,Casey6@Adventure-Works.Com,80000,2,High School,Skilled Manual,N
,,,,,,,,,,,,
11073,MRS.,AMY,YE,8/14/1956,S,F,Amy16@Adventure-Works.Com,70000,2,HighSchool,Skilled Manual,Y
11074,MR.,LEVI,ARUN,8/28/1956,S,M,Levi6@Adventure-Works.Com,70000,2,HighSchool,Skilled Manual,Y
11075,MRS.,FELICIA,JIMENEZ,11/16/1957,S,F,Felicia4@Adventure-Works.Com,80000,2,HighSchool,Professional,Y
11076,MR.,BLAKE,ANDERSON,7/13/1957,S,M,Blake9@Adventure-Works.Com,80000,2,HighSchool,Professional,Y
11077,MRS.,LEAH,YE,9/19/1957,S,F,Leah7@Adventure-Works.Com,80000,2,HighSchool,Professional,N
11078,MS.,GINA,MARTIN,1/10/1974,S,F,Gina1@Adventure-Works.Com,40000,,HighSchool,Professional,N
11079,MR.,DONALD,GONZALEZ,3/11/1959,S,M,Donald20@Adventure-Works.Com,160000,,Graduate Degree,Management,Y
11080,MR.,DAMIEN,CHANDER,7/17/1959,M,M,Damien32@Adventure-Works.Com,170000,,Graduate Degree,Management,Y
11081,MRS.,SAVANNAH,BAKER,7/24/1966,M,F,Savannah39@Adventure-Works.Com,120000,2,Bachelors,Management,Y
11082,,ANGELA,BUTLER,8/4/1966,S,NA,Angela17@Adventure-Works.Com,130000,,Graduate Degree,Managenent,N
11083,MS.,ALYSSA,COX,3/15/1966,M,F,Alyssa37@Adventure-Works.Com,130000,,Graduate Degree,Management,Y
11084,MR.,LUCAS,PHILLIPS,9/12/1957,S,M,Lucas7@Adventure-Works.Com,80000,2,Partial High School,Skilled Manual,N
11085,MRS.,EMILY,JOHNSON,7/19/1957,S,F,Emily1@Adventure-Works.Com,60000,2,High School,Professional,N
11086,MR.,RYAN,BROWN,12/23/1957,M,M,Ryan43@Adventure-Works.Com,70000,2,Partial College,Professional,Y
11087,MRS.,TAMARA,LIANG,10/3/1957,M,F,Tamara6@Adventure-Works.Com,70000,3,Partial College,Professional,N
11089,MRS.,ABIGAIL,PRICE,2/5/1957,S,F,Abigail25@Adventure-Works.Com,80000,2,Bachelors,Management,Y
11090,MR.,TREVOR,BRYANT,12/17/1957,S,M,Trevor18@Adventure-Works.Com,90000,2,Partial College,Professional,Y
11091,MR.,DALTON,PEREZ,4/4/1957,M,M,Dalton37@Adventure-Works.Com,90000,2,Partial College,Professional,Y
11092,MRS.,CHERYL,DIAZ,5/6/1967,M,F,Cheryl4@Adventure-Works.Com,90000,2,Bachelors,Professional,Y
11093,MS.,AIMEE,HE,9/10/1967,M,F,Aimee13@Adventure-Works.Com,100000,,Graduate Degree,Management,Y
11094,MR.,CEDRIC,MA,4/1/1962,S,M,Cedric15@Adventure-Works.Com,70000,1,Partial College,Skilled Manual,N
11095,MR.,CHAD,KUMAR,9/1/1962,S,M,Chad9@Adventure-Works.Com,70000,1,Partial College,Skilled Manual,Y
11096,MR.,ANDRÉS,ANAND,8/10/1962,M,M,Andrés18@Adventure-Works.Com,60000,1,Bachelors,Professional,Y
11097,MR.,EDWIN,NARA,10/27/1961,M,M,Edwin39@Adventure-Works.Com,60000,1,Partial College,Skilled Manual,Y
11098,MRS.,MALLORY,RUBIO,5/1/1961,S,F,Mallory7@Adventure-Works.Com,60000,1,Partial College,Skilled Manual,N
11099,MR.,ADAM,ROSS,3/8/1961,M,M,Adam2@Adventure-Works.Com,60000,1,Bachelors,Professional,Y
11100,MRS.,LATASHA,NAVARRO,9/15/1960,S,F,Latasha10@Adventure-Works.Com,60000,1,Partial College,Skilled Manual,Y
11101,MS.,ABBY,SAI,5/8/1965,S,F,Abby4@Adventure-Works.Com,70000,,Bachelors,Professional,N
11102,MRS.,JULIA,NELSON,4/21/1965,S,F,Julia7@Adventure-Works.Com,80000,5,Bachelors,Professional,Y
11103,MS.,CASSIE,CHANDE,10/17/1964,S,F,Cassie13@Adventure-Works.Com,70000,,Bachelors,Professional,Y
11104,MR.,EDGAR,SARA,3/11/1964,M,M,Edgar11@Adventure-Works.Com,70000,,Bachelors,Professional,N
11105,MS.,CANDACE,FERNANDEZ,12/28/1964,S,F,Candace15@Adventure-Works.Com,70000,,Bachelors,Professional,N
11106,MR.,JESSIE,LIU,9/11/1964,S,M,Jessie9@Adventure-Works.Com,70000,,Bachelors,Professional,N
11107,MRS.,BIANCA,LIN,9/9/1959,M,F,Bianca7@Adventure-Works.Com,90000,1,Bachelors,Professional,Y
11108,MS.,KARI,ALVAREZ,7/14/1963,S,F,Kari25@Adventure-Works.Com,70000,,Bachelors,Professional,N
11109,MR.,RUBEN,KAPOOR,11/5/1963,S,M,Ruben1@Adventure-Works.Com,70000,,Bachelors,Professional,N
11110,MR.,CURTIS,YANG,6/6/1962,M,M,Curtis5@Adventure-Works.Com,60000,1,Partial College,Skilled Manual,Y
11111,MRS.,MEREDITH,GUTIERREZ,2/23/1962,M,F,Meredith34@Adventure-Works.Com,60000,1,Partial College,Skilled Manual,Y
11112,MRS.,CRYSTAL,WANG,9/9/1962,M,F,Crystal3@Adventure-Works.Com,60000,1,Partial College,Skilled Manual,Y
11113,MR.,MICHEAL,BLANCO,2/21/1962,M,M,Micheal11@Adventure-Works.Com,70000,5,Bachelors,Professional,Y
11114,MRS.,LESLIE,MORENO,5/28/1962,S,F,Leslie7@Adventure-Works.Com,70000,5,Partial College,Skilled Manual,Y
11115,MR.,ALVIN,CAI,2/12/1962,M,M,Alvin20@Adventure-Works.Com,70000,5,Partial College,Skilled Manual,Y
11116,MR.,CLINTON,CARLSON,10/7/1962,M,M,Clinton14@Adventure-Works.Com,70000,5,Partial College,Skilled Manual,Y
11117,MRS.,APRIL,DENG,2/21/1961,M,F,April1@Adventure-Works.Com,70000,5,Partial College,Skilled Manual,Y
11118,MR.,ALVIN,ZENG,7/3/1957,S,M,Alvin21@Adventure-Works.Com,80000,1,Partial College,Skilled Manual,N
11119,MR.,EVAN,JAMES,4/10/1935,S,M,Evan8@Adventure-Works.Com,30000,2,Partial College,Clerical,N
11121,MR.,ORLANDO,SUAREZ,11/18/1960,M,M,Orlando19@Adventure-Works.Com,70000,5,Partial College,Skilled Manual,Y
11122,MR.,BYRON,VAZQUEZ,4/2/1960,M,M,Byron9@Adventure-Works.Com,70000,5,Partial College,Skilled Manual,Y
11123,MR.,PHILIP,ALVAREZ,6/20/1960,M,M,Philip4@Adventure-Works.Com,70000,5,Partial College,Skilled Manual,Y
11124,MR.,ROSS,JORDAN,7/27/1957,S,M,Ross1@Adventure-Works.Com,80000,1,Partial College,Skilled Manual,Y
,,,,,,,,,,,,
11125,MRS.,DANA,NAVARRO,4/8/1956,S,F,Dana2@Adventure-Works.Com,70000,1,Partial College,Skilled Manual,Y
11126,MR.,SHAUN,CARSON,4/7/1949,M,M,Shaun16@Adventure-Works.Com,10000,2,High School,Skilled Manual,N
11127,MS.,JAN,EDWARDS,10/21/1975,M,F,Jan11@Adventure-Works.Com,40000,,High School,Skilled Manual,Y
11128,MS.,SAMANTHA,LONG,12/5/1975,M,F,Samantha35@Adventure-Works.Com,40000,,High School,Skilled Manual,Y
11129,MS.,JULIA,WRIGHT,8/5/1975,S,F,Julia17@Adventure-Works.Com,40000,,High School,Skilled Manual,Y
11130,MS.,CAROLINE,RUSSELL,1/6/1980,M,F,Caroline21@Adventure-Works.Com,30000,,High School,Skilled Manual,Y
11131,MS.,AMANDA,RIVERA,3/12/1980,M,F,Amanda7@Adventure-Works.Com,30000,,High School,Skilled Manual,N
11132,MS.,MELISSA,RICHARDSON,10/26/1980,S,F,Melissa31@Adventure-Works.Com,30000,,High School,Skilled Manual,N
11133,MS.,ANGELA,GRIFFIN,9/8/1980,S,F,Angela23@Adventure-Works.Com,30000,,Partial High School,Clerical,N
11134,MR.,LARRY,TOWNSEND,2/26/1946,S,M,Larry14@Adventure-Works.Com,10000,5,High School,Skilled Manual,Y
11135,MR.,MARCUS,HARRIS,11/3/1979,S,M,Marcus14@Adventure-Works.Com,30000,,Partial High School,Clerical,N
11136,MS.,BRIANNA,MORGAN,10/26/1978,S,F,Brianna30@Adventure-Works.Com,40000,,High School,Skilled Manual,N
11137,MS.,JASMINE,TAYLOR,7/20/1978,M,F,Jasmine7@Adventure-Works.Com,40000,,High School,Skilled Manual,Y
11138,MS.,LAUREN,DAVIS,9/15/1978,M,F,Lauren23@Adventure-Works.Com,40000,,High School,Skilled Manual,N
11139,MRS.,TANYA,MORENO,11/9/1938,S,F,Tanya2@Adventure-Works.Com,30000,2,Partial College,Clerical,N
11140,MR.,JAVIER,ALVAREZ,2/11/1977,S,M,Javier1@Adventure-Works.Com,30000,,Partial High School,Clerical,N
11141,MS.,NICOLE,RAMIREZ,6/21/1977,M,F,Nicole42@Adventure-Works.Com,40000,,High School,Skilled Manual,N
11142,MR.,EDUARDO,PATTERSON,8/14/1977,S,M,Eduardo55@Adventure-Works.Com,40000,,High School,Skilled Manual,N
11143,MR.,JONATHAN,HENDERSON,2/4/1977,M,M,Jonathan4@Adventure-Works.Com,40000,,High School,Skilled Manual,Y
11144,MR.,EDWARD,HERNANDEZ,9/9/1979,S,M,Edward48@Adventure-Works.Com,40000,,High School,Skilled Manual,N
11145,MS.,JASMINE,COLEMAN,12/8/1979,S,F,Jasmine46@Adventure-Works.Com,40000,,High School,Skilled Manual,N
11146,MRS.,KARLA,GOEL,8/26/1939,S,F,Karla20@Adventure-Works.Com,40000,2,Bachelors,Management,Y
11147,MR.,ERNEST,WU,2/5/1939,M,M,Ernest6@Adventure-Works.Com,60000,2,Graduate Degree,Management,Y
11148,MR.,ROSS,VAZQUEZ,8/16/1941,M,M,Ross32@Adventure-Works.Com,40000,2,Bachelors,Managenent,Y
11149,MR.,THEODORE,GILL,4/20/1941,M,M,Theodore14@Adventure-Works.Com,40000,2,Bachelors,Management,Y
11150,MR.,RUSSELL,SHEN,3/15/1941,S,M,Russell6@Adventure-Works.Com,40000,2,Bachelors,Management,Y
11151,MRS.,MELINDA,GILL,2/25/1942,S,F,Melinda9@Adventure-Works.Com,60000,2,Graduate Degree,Management,N
11152,MR.,JAMES,WILLIAMS,1/10/1976,S,M,James77@Adventure-Works.Com,40000,,High School,Skilled Manual,Y
11153,MS.,ANGELA,JAMES,6/23/1976,M,F,Angela34@Adventure-Works.Com,40000,,High School,Skilled Manual,Y
11154,MS.,MEGAN,WALKER,8/21/1976,S,F,Megan25@Adventure-Works.Com,40000,,Partial College,Skilled Manual,Y
11155,MR.,HUNTER,ROBINSON,1/26/1976,S,M,Hunter50@Adventure-Works.Com,40000,,Partial College,Skilled Manual,N
11156,MS.,MARIA,ROBERTS,2/7/1976,S,F,Maria47@Adventure-Works.Com,40000,,Partial College,Skilled Manual,N
11157,MS.,HANNAH,LONG,6/11/1975,M,F,Hannah32@Adventure-Works.Com,40000,,High School,Skilled Manual,Y
11158,MR.,JASON,WRIGHT,10/8/1975,S,M,Jason46@Adventure-Works.Com,40000,,High School,Skilled Manual,Y
11159,MS.,BRIANNA,HUGHES,9/17/1975,S,F,Brianna57@Adventure-Works.Com,40000,,High School,Skilled Manual,N
11160,MR.,MAURICE,TANG,1/8/1974,S,M,Maurice4@Adventure-Works.Com,40000,,Partial College,Skilled Manual,N
11161,MS.,EMILY,WOOD,4/22/1974,S,F,Emily27@Adventure-Works.Com,40000,,Partial College,Skilled Manual,N
11162,MR.,CHASE,COX,3/5/1974,S,M,Chase10@Adventure-Works.Com,40000,,Partial College,Skilled Manual,Y
11163,MR.,GABRIEL,WANG,12/20/1974,M,M,Gabriel21@Adventure-Works.Com,40000,,Partial College,Skilled Manual,Y
11164,MR.,DEVIN,BROOKS,5/5/1974,S,M,Devin63@Adventure-Works.Com,40000,,Partial College,Skilled Manual,N
11165,MS.,JOCELYN,ALEXANDER,7/18/1973,M,F,Jocelyn18@Adventure-Works.Com,60000,,Partial College,Skilled Manual,N
11166,MS.,ASHLEY,MARTINEZ,4/24/1972,S,F,Ashley18@Adventure-Works.Com,70000,,Partial College,Skilled Manual,N
11167,MS.,JASMINE,BARNES,8/1/1972,S,F,Jasmine43@Adventure-Works.Com,80000,,Bachelors,Management,N
11168,MR.,DAVID,RODRIGUEZ,5/15/1968,S,M,David83@Adventure-Works.Com,80000,,Bachelors,Management,N
11169,MR.,BRYCE,RICHARDSON,6/22/1968,M,M,Bryce8@Adventure-Works.Com,90000,4,Bachelors,Management,Y
11170,MRS.,CAROL,HOWARD,2/5/1968,M,F,Carol5@Adventure-Works.Com,90000,4,Bachelors,Management,Y
11171,MR.,JONATHAN,HILL,10/9/1967,S,M,Jonathan43@Adventure-Works.Com,100000,1,Bachelors,Management,Y
11172,MRS.,GABRIELLE,ADAMS,11/21/1967,M,F,Gabrielle58@Adventure-Works.Com,100000,1,Bachelors,Management,Y
11173,MS.,SARAH,THOMAS,9/1/1967,S,F,Sarah13@Adventure-Works.Com,110000,,Graduate Degree,Management,N
11174,MR.,NICHOLAS,ROBINSON,7/13/1967,M,M,Nicholas19@Adventure-Works.Com,110000,,Graduate Degree,Management,Y
11175,MR.,LUIS,WANG,3/5/1963,S,M,Luis24@Adventure-Works.Com,70000,,Partial College,Skilled Manual,Y
11176,MR.,MASON,ROBERTS,1/25/1968,M,M,Mason25@Adventure-Works.Com,90000,4,Bachelors,Management,Y
11177,MR.,JOSE,FLORES,7/4/1942,M,M,Jose6@Adventure-Works.Com,110000,2,Graduate Degree,Management,Y
11178,MR.,NATHAN,JOHNSON,8/24/1943,M,M,Nathan55@Adventure-Works.Com,100000,2,Graduate Degree,Management,Y
11179,MRS.,MOLLY,RODRIGUEZ,6/14/1943,M,F,Molly18@Adventure-Works.Com,120000,2,Graduate Degree,Management,Y
11180,MRS.,APRIL,ANAND,1/2/1943,M,F,April18@Adventure-Works.Com,160000,1,Bachelors,Management,Y
11181,MR.,DEVIN,MARTIN,8/8/1943,M,M,Devin13@Adventure-Works.Com,170000,2,Graduate Degree,Management,Y
11182,MRS.,STEPHANIE,TORRES,8/25/1944,S,F,Stephanie19@Adventure-Works.Com,70000,4,Bachelors,Management,Y
11183,MRS.,JASMINE,LEE,7/15/1944,S,F,Jasmine19@Adventure-Works.Com,70000,4,Bachelors,Management,Y
11184,MRS.,MEGHAN,HERNANDEZ,11/16/1944,S,F,Meghan3@Adventure-Works.Com,70000,4,Bachelors,Management,Y
11185,MRS.,ASHLEY,HENDERSON,10/8/1944,S,F,Ashley31@Adventure-Works.Com,70000,4,Bachelors,Management,Y
11186,MRS.,SARAH,PRICE,5/21/1944,S,F,Sarah25@Adventure-Works.Com,70000,4,Bachelors,Management,Y
11187,MRS.,JENNIFER,COOPER,2/22/1944,M,F,Jennifer63@Adventure-Works.Com,60000,4,Graduate Degree,Management,Y
11188,MRS.,CATHERINE,MORRIS,9/6/1944,M,F,Catherine16@Adventure-Works.Com,60000,4,Graduate Degree,Management,N
11190,MR.,CARSON,BRYANT,6/22/1944,M,M,Carson17@Adventure-Works.Com,70000,5,Bachelors,Management,Y
11191,MRS.,KRISTI,PEREZ,12/18/1945,S,F,Kristi39@Adventure-Works.Com,70000,5,Bachelors,Management,Y
11192,MR.,JAMES,BROWN,9/13/1945,M,M,James79@Adventure-Works.Com,60000,4,Bachelors,Management,Y
11193,MR.,IAN,GRAY,2/13/1945,M,M,Ian72@Adventure-Works.Com,60000,4,Bachelors,Management,Y
11194,MRS.,JACQUELINE,PRICE,6/10/1945,M,F,Jacqueline0@Adventure-Works.Com,60000,4,Bachelors,Management,Y
11195,MRS.,MEGAN,HENDERSON,2/10/1946,M,F,Megan55@Adventure-Works.Com,60000,5,Bachelors,Management,Y
11196,MR.,ALFREDO,ROMERO,6/7/1946,M,M,Alfredo10@Adventure-Works.Com,60000,5,Bachelors,Management,Y
11197,MRS.,ANDREA,MORRIS,6/18/1946,M,F,Andrea18@Adventure-Works.Com,70000,3,Bachelors,Management,N
11198,MRS.,BROOKE,SANDERS,11/26/1946,S,F,Brooke3@Adventure-Works.Com,70000,4,Bachelors,Management,Y
11199,MRS.,JACQUELINE,BENNETT,11/6/1946,M,F,Jacqueline1@Adventure-Works.Com,70000,4,Bachelors,Management,Y
11200,MR.,JASON,GRIFFIN,11/22/1947,M,M,Jason18@Adventure-Works.Com,70000,4,Bachelors,Management,Y
11201,MRS.,AMANDA,FOSTER,8/18/1947,M,F,Amanda37@Adventure-Works.Com,70000,4,Bachelors,Management,Y
11202,MRS.,ALEXIA,PRICE,8/26/1947,M,F,Alexia0@Adventure-Works.Com,80000,5,Bachelors,Management,N
11203,MR.,LUIS,DIAZ,8/21/1948,M,M,Luis21@Adventure-Works.Com,40000,2,High School,Professional,Y
11205,MRS.,ABBY,FERNANDEZ,7/24/1948,M,F,Abby13@Adventure-Works.Com,40000,2,High School,Professional,Y
11206,MR.,BLAKE,FLORES,9/24/1948,M,M,Blake60@Adventure-Works.Com,60000,2,Partial College,Professional,Y
11207,MRS.,DANIELLE,COX,7/19/1948,S,F,Danielle12@Adventure-Works.Com,60000,2,Partial College,Professional,Y
11208,MRS.,MARIA,REED,2/4/1948,M,F,Maria4@Adventure-Works.Com,60000,2,Bachelors,Management,Y
11209,MRS.,ALLISON,EVANS,1/13/1948,M,F,Allison21@Adventure-Works.Com,60000,2,Bachelors,Management,Y
11210,MR.,EDWARD,WOOD,6/8/1948,M,M,Edward50@Adventure-Works.Com,70000,4,Partial College,Professional,Y
11211,MRS.,SAMANTHA,RUSSELL,10/12/1949,M,F,Samantha42@Adventure-Works.Com,40000,2,High School,Professional,Y
11212,MRS.,CHLOE,CAMPBELL,11/5/1949,M,F,Chloe4@Adventure-Works.Com,40000,2,High School,Professional,Y
